Trade Date,Options Class,Underlying,Product Type,Exchange,Volume
2013/01/02,AAPL,AAPL,S,BATS,44519
2013/01/03,AAPL,AAPL,S,BATS,37912
2013/01/04,AAPL,AAPL,S,BATS,70939
2013/01/07,AAPL,AAPL,S,BATS,41617
2013/01/08,AAPL,AAPL,S,BATS,37626
2013/01/09,AAPL,AAPL,S,BATS,40279
2013/01/10,AAPL,AAPL,S,BATS,54784
2013/01/11,AAPL,AAPL,S,BATS,45454
2013/01/14,AAPL,AAPL,S,BATS,49583
2013/01/15,AAPL,AAPL,S,BATS,61328
2013/01/16,AAPL,AAPL,S,BATS,57720
2013/01/17,AAPL,AAPL,S,BATS,41694
2013/01/18,AAPL,AAPL,S,BATS,47851
2013/01/22,AAPL,AAPL,S,BATS,19604
2013/01/23,AAPL,AAPL,S,BATS,36864
2013/01/24,AAPL,AAPL,S,BATS,84320
2013/01/25,AAPL,AAPL,S,BATS,48609
2013/01/28,AAPL,AAPL,S,BATS,23581
2013/01/29,AAPL,AAPL,S,BATS,20972
2013/01/30,AAPL,AAPL,S,BATS,15837
2013/01/31,AAPL,AAPL,S,BATS,13064
2013/02/01,AAPL,AAPL,S,BATS,23482
2013/02/04,AAPL,AAPL,S,BATS,30995
2013/02/05,AAPL,AAPL,S,BATS,46509
2013/02/06,AAPL,AAPL,S,BATS,48722
2013/02/07,AAPL,AAPL,S,BATS,44023
2013/02/08,AAPL,AAPL,S,BATS,57735
2013/02/11,AAPL,AAPL,S,BATS,33601
2013/02/12,AAPL,AAPL,S,BATS,35233
2013/02/13,AAPL,AAPL,S,BATS,36195
2013/02/14,AAPL,AAPL,S,BATS,34944
2013/02/15,AAPL,AAPL,S,BATS,39381
2013/02/19,AAPL,AAPL,S,BATS,24614
2013/02/20,AAPL,AAPL,S,BATS,24525
2013/02/21,AAPL,AAPL,S,BATS,25956
2013/02/22,AAPL,AAPL,S,BATS,34700
2013/02/25,AAPL,AAPL,S,BATS,15683
2013/02/26,AAPL,AAPL,S,BATS,26532
2013/02/27,AAPL,AAPL,S,BATS,27865
2013/02/28,AAPL,AAPL,S,BATS,17664
2013/03/01,AAPL,AAPL,S,BATS,48968
2013/03/04,AAPL,AAPL,S,BATS,30895
2013/03/05,AAPL,AAPL,S,BATS,34968
2013/03/06,AAPL,AAPL,S,BATS,23327
2013/03/07,AAPL,AAPL,S,BATS,27640
2013/03/08,AAPL,AAPL,S,BATS,31246
2013/03/11,AAPL,AAPL,S,BATS,26579
2013/03/12,AAPL,AAPL,S,BATS,25415
2013/03/13,AAPL,AAPL,S,BATS,28048
2013/03/14,AAPL,AAPL,S,BATS,18673
2013/03/15,AAPL,AAPL,S,BATS,49977
2013/03/18,AAPL,AAPL,S,BATS,37476
2013/03/19,AAPL,AAPL,S,BATS,27282
2013/03/20,AAPL,AAPL,S,BATS,12568
2013/03/21,AAPL,AAPL,S,BATS,21445
2013/03/22,AAPL,AAPL,S,BATS,33228
2013/03/25,AAPL,AAPL,S,BATS,23180
2013/03/26,AAPL,AAPL,S,BATS,15146
2013/03/27,AAPL,AAPL,S,BATS,17460
2013/03/28,AAPL,AAPL,S,BATS,25740
2013/04/01,AAPL,AAPL,S,BATS,23660
2013/04/02,AAPL,AAPL,S,BATS,25036
2013/04/03,AAPL,AAPL,S,BATS,17877
2013/04/04,AAPL,AAPL,S,BATS,19348
2013/04/05,AAPL,AAPL,S,BATS,34488
2013/04/08,AAPL,AAPL,S,BATS,12544
2013/04/09,AAPL,AAPL,S,BATS,12785
2013/04/10,AAPL,AAPL,S,BATS,32227
2013/04/11,AAPL,AAPL,S,BATS,22598
2013/04/12,AAPL,AAPL,S,BATS,35304
2013/04/15,AAPL,AAPL,S,BATS,18112
2013/04/16,AAPL,AAPL,S,BATS,22552
2013/04/17,AAPL,AAPL,S,BATS,49888
2013/04/18,AAPL,AAPL,S,BATS,50170
2013/04/19,AAPL,AAPL,S,BATS,41390
2013/04/22,AAPL,AAPL,S,BATS,26236
2013/04/23,AAPL,AAPL,S,BATS,27011
2013/04/24,AAPL,AAPL,S,BATS,59714
2013/04/25,AAPL,AAPL,S,BATS,26148
2013/04/26,AAPL,AAPL,S,BATS,62586
2013/04/29,AAPL,AAPL,S,BATS,35239
2013/04/30,AAPL,AAPL,S,BATS,56082
2013/05/01,AAPL,AAPL,S,BATS,29863
2013/05/02,AAPL,AAPL,S,BATS,44634
2013/05/03,AAPL,AAPL,S,BATS,33606
2013/05/06,AAPL,AAPL,S,BATS,44491
2013/05/07,AAPL,AAPL,S,BATS,27472
2013/05/08,AAPL,AAPL,S,BATS,36902
2013/05/09,AAPL,AAPL,S,BATS,34316
2013/05/10,AAPL,AAPL,S,BATS,33798
2013/05/13,AAPL,AAPL,S,BATS,19283
2013/05/14,AAPL,AAPL,S,BATS,27709
2013/05/15,AAPL,AAPL,S,BATS,59176
2013/05/16,AAPL,AAPL,S,BATS,42125
2013/05/17,AAPL,AAPL,S,BATS,41632
2013/05/20,AAPL,AAPL,S,BATS,28057
2013/05/21,AAPL,AAPL,S,BATS,25948
2013/05/22,AAPL,AAPL,S,BATS,25276
2013/05/23,AAPL,AAPL,S,BATS,27297
2013/05/24,AAPL,AAPL,S,BATS,24152
2013/05/28,AAPL,AAPL,S,BATS,27266
2013/05/29,AAPL,AAPL,S,BATS,19964
2013/05/30,AAPL,AAPL,S,BATS,40603
2013/05/31,AAPL,AAPL,S,BATS,38099
2013/06/03,AAPL,AAPL,S,BATS,34622
2013/06/04,AAPL,AAPL,S,BATS,26003
2013/06/05,AAPL,AAPL,S,BATS,25106
2013/06/06,AAPL,AAPL,S,BATS,47432
2013/06/07,AAPL,AAPL,S,BATS,47225
2013/06/10,AAPL,AAPL,S,BATS,35113
2013/06/11,AAPL,AAPL,S,BATS,22988
2013/06/12,AAPL,AAPL,S,BATS,24186
2013/06/13,AAPL,AAPL,S,BATS,25650
2013/06/14,AAPL,AAPL,S,BATS,31194
2013/06/17,AAPL,AAPL,S,BATS,19935
2013/06/18,AAPL,AAPL,S,BATS,17670
2013/06/19,AAPL,AAPL,S,BATS,26357
2013/06/20,AAPL,AAPL,S,BATS,36688
2013/06/21,AAPL,AAPL,S,BATS,44556
2013/06/24,AAPL,AAPL,S,BATS,37795
2013/06/25,AAPL,AAPL,S,BATS,19811
2013/06/26,AAPL,AAPL,S,BATS,19369
2013/06/27,AAPL,AAPL,S,BATS,26306
2013/06/28,AAPL,AAPL,S,BATS,52349
2013/07/01,AAPL,AAPL,S,BATS,31859
2013/07/02,AAPL,AAPL,S,BATS,42042
2013/07/03,AAPL,AAPL,S,BATS,21801
2013/07/05,AAPL,AAPL,S,BATS,29390
2013/07/08,AAPL,AAPL,S,BATS,15529
2013/07/09,AAPL,AAPL,S,BATS,25402
2013/07/10,AAPL,AAPL,S,BATS,15396
2013/07/11,AAPL,AAPL,S,BATS,26180
2013/07/12,AAPL,AAPL,S,BATS,21688
2013/07/15,AAPL,AAPL,S,BATS,18838
2013/07/16,AAPL,AAPL,S,BATS,11647
2013/07/17,AAPL,AAPL,S,BATS,13403
2013/07/18,AAPL,AAPL,S,BATS,17401
2013/07/19,AAPL,AAPL,S,BATS,29284
2013/07/22,AAPL,AAPL,S,BATS,10362
2013/07/23,AAPL,AAPL,S,BATS,27215
2013/07/24,AAPL,AAPL,S,BATS,41159
2013/07/25,AAPL,AAPL,S,BATS,19823
2013/07/26,AAPL,AAPL,S,BATS,26867
2013/07/29,AAPL,AAPL,S,BATS,22037
2013/07/30,AAPL,AAPL,S,BATS,27602
2013/07/31,AAPL,AAPL,S,BATS,24148
2013/08/01,AAPL,AAPL,S,BATS,18880
2013/08/02,AAPL,AAPL,S,BATS,29994
2013/08/05,AAPL,AAPL,S,BATS,24717
2013/08/06,AAPL,AAPL,S,BATS,23985
2013/08/07,AAPL,AAPL,S,BATS,17440
2013/08/08,AAPL,AAPL,S,BATS,19376
2013/08/09,AAPL,AAPL,S,BATS,35468
2013/08/12,AAPL,AAPL,S,BATS,36883
2013/08/13,AAPL,AAPL,S,BATS,95904
2013/08/14,AAPL,AAPL,S,BATS,92177
2013/08/15,AAPL,AAPL,S,BATS,51108
2013/08/16,AAPL,AAPL,S,BATS,48577
2013/08/19,AAPL,AAPL,S,BATS,46370
2013/08/20,AAPL,AAPL,S,BATS,35061
2013/08/21,AAPL,AAPL,S,BATS,30633
2013/08/22,AAPL,AAPL,S,BATS,28058
2013/08/23,AAPL,AAPL,S,BATS,27766
2013/08/26,AAPL,AAPL,S,BATS,36614
2013/08/27,AAPL,AAPL,S,BATS,42377
2013/08/28,AAPL,AAPL,S,BATS,29638
2013/08/29,AAPL,AAPL,S,BATS,22788
2013/08/30,AAPL,AAPL,S,BATS,46335
2013/09/03,AAPL,AAPL,S,BATS,32262
2013/09/04,AAPL,AAPL,S,BATS,34637
2013/09/05,AAPL,AAPL,S,BATS,22373
2013/09/06,AAPL,AAPL,S,BATS,52483
2013/09/09,AAPL,AAPL,S,BATS,30864
2013/09/10,AAPL,AAPL,S,BATS,57054
2013/09/11,AAPL,AAPL,S,BATS,60958
2013/09/12,AAPL,AAPL,S,BATS,49653
2013/09/13,AAPL,AAPL,S,BATS,55448
2013/09/16,AAPL,AAPL,S,BATS,42116
2013/09/17,AAPL,AAPL,S,BATS,41198
2013/09/18,AAPL,AAPL,S,BATS,37843
2013/09/19,AAPL,AAPL,S,BATS,39986
2013/09/20,AAPL,AAPL,S,BATS,56964
2013/09/23,AAPL,AAPL,S,BATS,56542
2013/09/24,AAPL,AAPL,S,BATS,26952
2013/09/25,AAPL,AAPL,S,BATS,38580
2013/09/26,AAPL,AAPL,S,BATS,31940
2013/09/27,AAPL,AAPL,S,BATS,37565
2013/09/30,AAPL,AAPL,S,BATS,20508
2013/10/01,AAPL,AAPL,S,BATS,32383
2013/10/02,AAPL,AAPL,S,BATS,29094
2013/10/03,AAPL,AAPL,S,BATS,32116
2013/10/04,AAPL,AAPL,S,BATS,43942
2013/10/07,AAPL,AAPL,S,BATS,25606
2013/10/08,AAPL,AAPL,S,BATS,23718
