Trade Date,Options Class,Underlying,Product Type,Exchange,Volume
2013/01/02,AMZN,AMZN,S,BATS,11936
2013/01/03,AMZN,AMZN,S,BATS,12526
2013/01/04,AMZN,AMZN,S,BATS,9619
2013/01/07,AMZN,AMZN,S,BATS,15222
2013/01/08,AMZN,AMZN,S,BATS,7082
2013/01/09,AMZN,AMZN,S,BATS,7140
2013/01/10,AMZN,AMZN,S,BATS,9045
2013/01/11,AMZN,AMZN,S,BATS,9439
2013/01/14,AMZN,AMZN,S,BATS,10373
2013/01/15,AMZN,AMZN,S,BATS,5252
2013/01/16,AMZN,AMZN,S,BATS,6184
2013/01/17,AMZN,AMZN,S,BATS,7562
2013/01/18,AMZN,AMZN,S,BATS,9855
2013/01/22,AMZN,AMZN,S,BATS,3850
2013/01/23,AMZN,AMZN,S,BATS,4633
2013/01/24,AMZN,AMZN,S,BATS,9955
2013/01/25,AMZN,AMZN,S,BATS,14770
2013/01/28,AMZN,AMZN,S,BATS,9548
2013/01/29,AMZN,AMZN,S,BATS,24808
2013/01/30,AMZN,AMZN,S,BATS,38707
2013/01/31,AMZN,AMZN,S,BATS,18822
2013/02/01,AMZN,AMZN,S,BATS,18557
2013/02/04,AMZN,AMZN,S,BATS,9980
2013/02/05,AMZN,AMZN,S,BATS,9415
2013/02/06,AMZN,AMZN,S,BATS,7014
2013/02/07,AMZN,AMZN,S,BATS,8416
2013/02/08,AMZN,AMZN,S,BATS,7952
2013/02/11,AMZN,AMZN,S,BATS,5605
2013/02/12,AMZN,AMZN,S,BATS,3752
2013/02/13,AMZN,AMZN,S,BATS,12006
2013/02/14,AMZN,AMZN,S,BATS,6839
2013/02/15,AMZN,AMZN,S,BATS,8733
2013/02/19,AMZN,AMZN,S,BATS,5209
2013/02/20,AMZN,AMZN,S,BATS,6910
2013/02/21,AMZN,AMZN,S,BATS,6405
2013/02/22,AMZN,AMZN,S,BATS,6825
2013/02/25,AMZN,AMZN,S,BATS,5521
2013/02/26,AMZN,AMZN,S,BATS,6269
