Trade Date,Options Class,Underlying,Product Type,Exchange,Volume
2013/01/02,GOOG,GOOG,S,BATS,3510
2013/01/03,GOOG,GOOG,S,BATS,8019
2013/01/04,GOOG,GOOG,S,BATS,10658
2013/01/07,GOOG,GOOG,S,BATS,4358
2013/01/08,GOOG,GOOG,S,BATS,4507
2013/01/09,GOOG,GOOG,S,BATS,4647
2013/01/10,GOOG,GOOG,S,BATS,6342
2013/01/11,GOOG,GOOG,S,BATS,5316
2013/01/14,GOOG,GOOG,S,BATS,4849
2013/01/15,GOOG,GOOG,S,BATS,10424
2013/01/16,GOOG,GOOG,S,BATS,4679
2013/01/17,GOOG,GOOG,S,BATS,6303
2013/01/18,GOOG,GOOG,S,BATS,9878
2013/01/22,GOOG,GOOG,S,BATS,5019
2013/01/23,GOOG,GOOG,S,BATS,12983
2013/01/24,GOOG,GOOG,S,BATS,7801
2013/01/25,GOOG,GOOG,S,BATS,8113
2013/01/28,GOOG,GOOG,S,BATS,2763
2013/01/29,GOOG,GOOG,S,BATS,2932
2013/01/30,GOOG,GOOG,S,BATS,4638
2013/01/31,GOOG,GOOG,S,BATS,4326
2013/02/01,GOOG,GOOG,S,BATS,14174
2013/02/04,GOOG,GOOG,S,BATS,5173
2013/02/05,GOOG,GOOG,S,BATS,3966
2013/02/06,GOOG,GOOG,S,BATS,6464
2013/02/07,GOOG,GOOG,S,BATS,8991
2013/02/08,GOOG,GOOG,S,BATS,11265
2013/02/11,GOOG,GOOG,S,BATS,4914
2013/02/12,GOOG,GOOG,S,BATS,3397
2013/02/13,GOOG,GOOG,S,BATS,3146
2013/02/14,GOOG,GOOG,S,BATS,4336
2013/02/15,GOOG,GOOG,S,BATS,8206
2013/02/19,GOOG,GOOG,S,BATS,7962
2013/02/20,GOOG,GOOG,S,BATS,5474
2013/02/21,GOOG,GOOG,S,BATS,8122
2013/02/22,GOOG,GOOG,S,BATS,6674
2013/02/25,GOOG,GOOG,S,BATS,6365
2013/02/26,GOOG,GOOG,S,BATS,3855
2013/02/27,GOOG,GOOG,S,BATS,5391
2013/02/28,GOOG,GOOG,S,BATS,4826
2013/03/01,GOOG,GOOG,S,BATS,6516
2013/03/04,GOOG,GOOG,S,BATS,5724
2013/03/05,GOOG,GOOG,S,BATS,9293
2013/03/06,GOOG,GOOG,S,BATS,7153
2013/03/07,GOOG,GOOG,S,BATS,5225
2013/03/08,GOOG,GOOG,S,BATS,7635
2013/03/11,GOOG,GOOG,S,BATS,3745
2013/03/12,GOOG,GOOG,S,BATS,5496
2013/03/13,GOOG,GOOG,S,BATS,4279
2013/03/14,GOOG,GOOG,S,BATS,5187
2013/03/15,GOOG,GOOG,S,BATS,7911
2013/03/18,GOOG,GOOG,S,BATS,6222
2013/03/19,GOOG,GOOG,S,BATS,6231
2013/03/20,GOOG,GOOG,S,BATS,2991
2013/03/21,GOOG,GOOG,S,BATS,3422
2013/03/22,GOOG,GOOG,S,BATS,4766
2013/03/25,GOOG,GOOG,S,BATS,2422
2013/03/26,GOOG,GOOG,S,BATS,2438
2013/03/27,GOOG,GOOG,S,BATS,3775
2013/03/28,GOOG,GOOG,S,BATS,5661
2013/04/01,GOOG,GOOG,S,BATS,2565
2013/04/02,GOOG,GOOG,S,BATS,3497
2013/04/03,GOOG,GOOG,S,BATS,2643
2013/04/04,GOOG,GOOG,S,BATS,4851
2013/04/05,GOOG,GOOG,S,BATS,7925
2013/04/08,GOOG,GOOG,S,BATS,3739
2013/04/09,GOOG,GOOG,S,BATS,3452
2013/04/10,GOOG,GOOG,S,BATS,3622
2013/04/11,GOOG,GOOG,S,BATS,2926
2013/04/12,GOOG,GOOG,S,BATS,4785
2013/04/15,GOOG,GOOG,S,BATS,4875
2013/04/16,GOOG,GOOG,S,BATS,2802
2013/04/17,GOOG,GOOG,S,BATS,3180
2013/04/18,GOOG,GOOG,S,BATS,7005
2013/04/19,GOOG,GOOG,S,BATS,12859
2013/04/22,GOOG,GOOG,S,BATS,4428
2013/04/23,GOOG,GOOG,S,BATS,7167
2013/04/24,GOOG,GOOG,S,BATS,3309
2013/04/25,GOOG,GOOG,S,BATS,2793
2013/04/26,GOOG,GOOG,S,BATS,5139
2013/04/29,GOOG,GOOG,S,BATS,5208
2013/04/30,GOOG,GOOG,S,BATS,3657
2013/05/01,GOOG,GOOG,S,BATS,2319
2013/05/02,GOOG,GOOG,S,BATS,4652
2013/05/03,GOOG,GOOG,S,BATS,9175
2013/05/06,GOOG,GOOG,S,BATS,5691
2013/05/07,GOOG,GOOG,S,BATS,5384
2013/05/08,GOOG,GOOG,S,BATS,7938
2013/05/09,GOOG,GOOG,S,BATS,7557
2013/05/10,GOOG,GOOG,S,BATS,8059
2013/05/13,GOOG,GOOG,S,BATS,3287
2013/05/14,GOOG,GOOG,S,BATS,5006
2013/05/15,GOOG,GOOG,S,BATS,16374
2013/05/16,GOOG,GOOG,S,BATS,11046
