Trade Date,Options Class,Underlying,Product Type,Exchange,Volume
2021/12/01,META,META,S,BATS,2644
2021/12/02,META,META,S,BATS,2988
2021/12/03,META,META,S,BATS,2853
2021/12/06,META,META,S,BATS,1576
2021/12/07,META,META,S,BATS,2247
2021/12/08,META,META,S,BATS,1474
2021/12/09,META,META,S,BATS,1093
2021/12/10,META,META,S,BATS,1833
2021/12/13,META,META,S,BATS,1756
2021/12/14,META,META,S,BATS,1396
2021/12/15,META,META,S,BATS,1902
2021/12/16,META,META,S,BATS,1892
2021/12/17,META,META,S,BATS,1386
2021/12/20,META,META,S,BATS,1000
2021/12/21,META,META,S,BATS,977
2021/12/22,META,META,S,BATS,1248
2021/12/23,META,META,S,BATS,519
2021/12/27,META,META,S,BATS,751
2021/12/28,META,META,S,BATS,562
2021/12/29,META,META,S,BATS,389
2021/12/30,META,META,S,BATS,596
2021/12/31,META,META,S,BATS,1394
2022/01/03,META,META,S,BATS,622
2022/01/04,META,META,S,BATS,803
2022/01/05,META,META,S,BATS,923
2022/01/06,META,META,S,BATS,715
2022/01/07,META,META,S,BATS,599
2022/01/10,META,META,S,BATS,1010
2022/01/11,META,META,S,BATS,524
2022/01/12,META,META,S,BATS,359
2022/01/13,META,META,S,BATS,774
2022/01/14,META,META,S,BATS,503
2022/01/18,META,META,S,BATS,967
2022/01/19,META,META,S,BATS,1324
2022/01/20,META,META,S,BATS,830
2022/01/21,META,META,S,BATS,1571
2022/01/24,META,META,S,BATS,1140
2022/01/25,META,META,S,BATS,594
2022/01/26,META,META,S,BATS,533
2022/01/27,META,META,S,BATS,321
2022/01/28,META,META,S,BATS,622
2022/06/09,META,META,S,BATS,26868
2022/06/10,META,META,S,BATS,25681
2022/06/13,META,META,S,BATS,26871
2022/06/14,META,META,S,BATS,20649
2022/06/15,META,META,S,BATS,42375
2022/06/16,META,META,S,BATS,31411
2022/06/17,META,META,S,BATS,38393
2022/06/21,META,META,S,BATS,64250
2022/06/22,META,META,S,BATS,45854
2022/06/23,META,META,S,BATS,40997
2022/06/24,META,META,S,BATS,60805
2022/06/27,META,META,S,BATS,27543
2022/06/28,META,META,S,BATS,25896
2022/06/29,META,META,S,BATS,32026
2022/06/30,META,META,S,BATS,35624
2022/07/01,META,META,S,BATS,27208
2022/07/05,META,META,S,BATS,44484
2022/07/06,META,META,S,BATS,28878
2022/07/07,META,META,S,BATS,31857
2022/07/08,META,META,S,BATS,28808
2022/07/11,META,META,S,BATS,20784
2022/07/12,META,META,S,BATS,21860
2022/07/13,META,META,S,BATS,19660
2022/07/14,META,META,S,BATS,23734
2022/07/15,META,META,S,BATS,24031
2022/07/18,META,META,S,BATS,22117
2022/07/19,META,META,S,BATS,24524
2022/07/20,META,META,S,BATS,34367
2022/07/21,META,META,S,BATS,42502
2022/07/22,META,META,S,BATS,51960
2022/07/25,META,META,S,BATS,15915
2022/07/26,META,META,S,BATS,20831
2022/07/27,META,META,S,BATS,34954
2022/07/28,META,META,S,BATS,101201
2022/07/29,META,META,S,BATS,65312
2022/08/01,META,META,S,BATS,54924
2022/08/02,META,META,S,BATS,31103
2022/08/03,META,META,S,BATS,45337
2022/08/04,META,META,S,BATS,31209
2022/08/05,META,META,S,BATS,49568
2022/08/08,META,META,S,BATS,40528
2022/08/09,META,META,S,BATS,15305
2022/08/10,META,META,S,BATS,38395
2022/08/11,META,META,S,BATS,35231
2022/08/12,META,META,S,BATS,30504
2022/08/15,META,META,S,BATS,20938
2022/08/16,META,META,S,BATS,26301
2022/08/17,META,META,S,BATS,23614
2022/08/18,META,META,S,BATS,26984
2022/08/19,META,META,S,BATS,36881
2022/08/22,META,META,S,BATS,20445
2022/08/23,META,META,S,BATS,22231
2022/08/24,META,META,S,BATS,18543
2022/08/25,META,META,S,BATS,22824
2022/08/26,META,META,S,BATS,29135
2022/08/29,META,META,S,BATS,18765
2022/08/30,META,META,S,BATS,20670
2022/08/31,META,META,S,BATS,41104
2022/09/01,META,META,S,BATS,46689
2022/09/02,META,META,S,BATS,41632
2022/09/06,META,META,S,BATS,22422
2022/09/07,META,META,S,BATS,25478
2022/09/08,META,META,S,BATS,27794
2022/09/09,META,META,S,BATS,32334
2022/09/12,META,META,S,BATS,28833
2022/09/13,META,META,S,BATS,51653
2022/09/14,META,META,S,BATS,58311
2022/09/15,META,META,S,BATS,41825
2022/09/16,META,META,S,BATS,41441
2022/09/19,META,META,S,BATS,18633
2022/09/20,META,META,S,BATS,16809
2022/09/21,META,META,S,BATS,38214
2022/09/22,META,META,S,BATS,44895
2022/09/23,META,META,S,BATS,36129
2022/09/26,META,META,S,BATS,24799
2022/09/27,META,META,S,BATS,22553
2022/09/28,META,META,S,BATS,31024
2022/09/29,META,META,S,BATS,30573
2022/09/30,META,META,S,BATS,33719
2022/10/03,META,META,S,BATS,21432
2022/10/04,META,META,S,BATS,32511
2022/10/05,META,META,S,BATS,38743
2022/10/06,META,META,S,BATS,53021
2022/10/07,META,META,S,BATS,40090
2022/10/10,META,META,S,BATS,21694
2022/10/11,META,META,S,BATS,28764
2022/10/12,META,META,S,BATS,19596
2022/10/13,META,META,S,BATS,39410
2022/10/14,META,META,S,BATS,19093
2022/10/17,META,META,S,BATS,28337
2022/10/18,META,META,S,BATS,27417
2022/10/19,META,META,S,BATS,25772
2022/10/20,META,META,S,BATS,39507
2022/10/21,META,META,S,BATS,57074
2022/10/24,META,META,S,BATS,53495
2022/10/25,META,META,S,BATS,21247
2022/10/26,META,META,S,BATS,54014
2022/10/27,META,META,S,BATS,190702
2022/10/28,META,META,S,BATS,112754
2022/10/31,META,META,S,BATS,103418
2022/11/01,META,META,S,BATS,107612
2022/11/02,META,META,S,BATS,82546
2022/11/03,META,META,S,BATS,61449
2022/11/04,META,META,S,BATS,74251
2022/11/07,META,META,S,BATS,76823
2022/11/08,META,META,S,BATS,38369
2022/11/09,META,META,S,BATS,131276
2022/11/10,META,META,S,BATS,120098
2022/11/11,META,META,S,BATS,98801
2022/11/14,META,META,S,BATS,55914
2022/11/15,META,META,S,BATS,66176
2022/11/16,META,META,S,BATS,43621
2022/11/17,META,META,S,BATS,52359
2022/11/18,META,META,S,BATS,62027
2022/11/21,META,META,S,BATS,26922
2022/11/22,META,META,S,BATS,35825
2022/11/23,META,META,S,BATS,24709
2022/11/25,META,META,S,BATS,17997
2022/11/28,META,META,S,BATS,20448
2022/11/29,META,META,S,BATS,20368
2022/11/30,META,META,S,BATS,49788
2022/12/01,META,META,S,BATS,47049
2022/12/02,META,META,S,BATS,51882
2022/12/05,META,META,S,BATS,32500
2022/12/06,META,META,S,BATS,41766
2022/12/07,META,META,S,BATS,21101
2022/12/08,META,META,S,BATS,26629
2022/12/09,META,META,S,BATS,27613
2022/12/12,META,META,S,BATS,15998
2022/12/13,META,META,S,BATS,38544
2022/12/14,META,META,S,BATS,26756
2022/12/15,META,META,S,BATS,23970
2022/12/16,META,META,S,BATS,61111
2022/12/19,META,META,S,BATS,27548
2022/12/20,META,META,S,BATS,30715
2022/12/21,META,META,S,BATS,21054
2022/12/22,META,META,S,BATS,21095
2022/12/23,META,META,S,BATS,17560
2022/12/27,META,META,S,BATS,15056
2022/12/28,META,META,S,BATS,12286
2022/12/29,META,META,S,BATS,24704
2022/12/30,META,META,S,BATS,24885
2023/01/03,META,META,S,BATS,40902
2023/01/04,META,META,S,BATS,28570
2023/01/05,META,META,S,BATS,22752
2023/01/06,META,META,S,BATS,40463
2023/01/09,META,META,S,BATS,20392
2023/01/10,META,META,S,BATS,21787
2023/01/11,META,META,S,BATS,15561
2023/01/12,META,META,S,BATS,42643
2023/01/13,META,META,S,BATS,27250
2023/01/17,META,META,S,BATS,16645
2023/01/18,META,META,S,BATS,14705
2023/01/19,META,META,S,BATS,27550
2023/01/20,META,META,S,BATS,29411
2023/01/23,META,META,S,BATS,24062
