Trade Date,Options Class,Underlying,Product Type,Exchange,Volume
2013/01/02,MSFT,MSFT,S,BATS,7342
2013/01/03,MSFT,MSFT,S,BATS,9087
2013/01/04,MSFT,MSFT,S,BATS,7752
2013/01/07,MSFT,MSFT,S,BATS,3264
2013/01/08,MSFT,MSFT,S,BATS,3386
2013/01/09,MSFT,MSFT,S,BATS,2680
2013/01/10,MSFT,MSFT,S,BATS,6561
2013/01/11,MSFT,MSFT,S,BATS,8264
2013/01/14,MSFT,MSFT,S,BATS,4173
2013/01/15,MSFT,MSFT,S,BATS,8249
2013/01/16,MSFT,MSFT,S,BATS,3778
2013/01/17,MSFT,MSFT,S,BATS,7080
2013/01/18,MSFT,MSFT,S,BATS,7464
2013/01/22,MSFT,MSFT,S,BATS,5959
2013/01/23,MSFT,MSFT,S,BATS,4230
2013/01/24,MSFT,MSFT,S,BATS,15226
2013/01/25,MSFT,MSFT,S,BATS,10994
2013/01/28,MSFT,MSFT,S,BATS,10677
2013/01/29,MSFT,MSFT,S,BATS,4402
2013/01/30,MSFT,MSFT,S,BATS,1664
2013/01/31,MSFT,MSFT,S,BATS,5212
2013/02/01,MSFT,MSFT,S,BATS,3610
2013/02/04,MSFT,MSFT,S,BATS,2476
2013/02/05,MSFT,MSFT,S,BATS,2863
2013/02/06,MSFT,MSFT,S,BATS,2513
2013/02/07,MSFT,MSFT,S,BATS,4764
2013/02/08,MSFT,MSFT,S,BATS,2976
2013/02/11,MSFT,MSFT,S,BATS,3631
2013/02/12,MSFT,MSFT,S,BATS,2292
2013/02/13,MSFT,MSFT,S,BATS,2923
2013/02/14,MSFT,MSFT,S,BATS,3698
2013/02/15,MSFT,MSFT,S,BATS,5265
2013/02/19,MSFT,MSFT,S,BATS,2651
2013/02/20,MSFT,MSFT,S,BATS,3888
2013/02/21,MSFT,MSFT,S,BATS,3044
2013/02/22,MSFT,MSFT,S,BATS,3776
2013/02/25,MSFT,MSFT,S,BATS,4482
2013/02/26,MSFT,MSFT,S,BATS,2418
2013/02/27,MSFT,MSFT,S,BATS,3985
2013/02/28,MSFT,MSFT,S,BATS,4328
2013/03/01,MSFT,MSFT,S,BATS,4373
2013/03/04,MSFT,MSFT,S,BATS,4776
2013/03/05,MSFT,MSFT,S,BATS,3616
2013/03/06,MSFT,MSFT,S,BATS,3057
2013/03/07,MSFT,MSFT,S,BATS,1676
2013/03/08,MSFT,MSFT,S,BATS,2333
2013/03/11,MSFT,MSFT,S,BATS,2355
2013/03/12,MSFT,MSFT,S,BATS,2054
2013/03/13,MSFT,MSFT,S,BATS,2570
2013/03/14,MSFT,MSFT,S,BATS,3044
2013/03/15,MSFT,MSFT,S,BATS,2102
2013/03/18,MSFT,MSFT,S,BATS,2595
2013/03/19,MSFT,MSFT,S,BATS,4444
2013/03/20,MSFT,MSFT,S,BATS,1911
2013/03/21,MSFT,MSFT,S,BATS,2525
2013/03/22,MSFT,MSFT,S,BATS,1692
2013/03/25,MSFT,MSFT,S,BATS,2053
2013/03/26,MSFT,MSFT,S,BATS,1354
2013/03/27,MSFT,MSFT,S,BATS,1862
2013/03/28,MSFT,MSFT,S,BATS,4624
2013/04/01,MSFT,MSFT,S,BATS,2664
2013/04/02,MSFT,MSFT,S,BATS,4115
2013/04/03,MSFT,MSFT,S,BATS,4815
2013/04/04,MSFT,MSFT,S,BATS,2193
2013/04/05,MSFT,MSFT,S,BATS,2457
2013/04/08,MSFT,MSFT,S,BATS,1509
2013/04/09,MSFT,MSFT,S,BATS,13877
2013/04/10,MSFT,MSFT,S,BATS,22676
2013/04/11,MSFT,MSFT,S,BATS,14425
2013/04/12,MSFT,MSFT,S,BATS,5089
2013/04/15,MSFT,MSFT,S,BATS,4695
2013/04/16,MSFT,MSFT,S,BATS,7430
2013/04/17,MSFT,MSFT,S,BATS,7165
2013/04/18,MSFT,MSFT,S,BATS,8605
2013/04/19,MSFT,MSFT,S,BATS,13020
2013/04/22,MSFT,MSFT,S,BATS,26086
2013/04/23,MSFT,MSFT,S,BATS,4618
2013/04/24,MSFT,MSFT,S,BATS,15970
2013/04/25,MSFT,MSFT,S,BATS,24851
2013/04/26,MSFT,MSFT,S,BATS,4889
2013/04/29,MSFT,MSFT,S,BATS,6097
2013/04/30,MSFT,MSFT,S,BATS,7350
2013/05/01,MSFT,MSFT,S,BATS,5682
2013/05/02,MSFT,MSFT,S,BATS,4494
2013/05/03,MSFT,MSFT,S,BATS,3898
2013/05/06,MSFT,MSFT,S,BATS,4433
2013/05/07,MSFT,MSFT,S,BATS,4061
2013/05/08,MSFT,MSFT,S,BATS,4790
2013/05/09,MSFT,MSFT,S,BATS,6498
2013/05/10,MSFT,MSFT,S,BATS,2799
2013/05/13,MSFT,MSFT,S,BATS,3479
2013/05/14,MSFT,MSFT,S,BATS,14002
2013/05/15,MSFT,MSFT,S,BATS,3897
2013/05/16,MSFT,MSFT,S,BATS,5464
2013/05/17,MSFT,MSFT,S,BATS,5915
2013/05/20,MSFT,MSFT,S,BATS,4589
2013/05/21,MSFT,MSFT,S,BATS,4304
2013/05/22,MSFT,MSFT,S,BATS,4123
2013/05/23,MSFT,MSFT,S,BATS,5273
2013/05/24,MSFT,MSFT,S,BATS,1635
2013/05/28,MSFT,MSFT,S,BATS,5349
2013/05/29,MSFT,MSFT,S,BATS,2124
2013/05/30,MSFT,MSFT,S,BATS,3785
2013/05/31,MSFT,MSFT,S,BATS,5980
2013/06/03,MSFT,MSFT,S,BATS,5736
2013/06/04,MSFT,MSFT,S,BATS,4227
2013/06/05,MSFT,MSFT,S,BATS,4049
2013/06/06,MSFT,MSFT,S,BATS,2911
2013/06/07,MSFT,MSFT,S,BATS,6099
2013/06/10,MSFT,MSFT,S,BATS,3106
2013/06/11,MSFT,MSFT,S,BATS,4043
2013/06/12,MSFT,MSFT,S,BATS,2122
2013/06/13,MSFT,MSFT,S,BATS,3983
2013/06/14,MSFT,MSFT,S,BATS,4339
2013/06/17,MSFT,MSFT,S,BATS,4203
2013/06/18,MSFT,MSFT,S,BATS,10602
2013/06/19,MSFT,MSFT,S,BATS,7598
2013/06/20,MSFT,MSFT,S,BATS,25749
2013/06/21,MSFT,MSFT,S,BATS,14238
2013/06/24,MSFT,MSFT,S,BATS,7847
2013/06/25,MSFT,MSFT,S,BATS,4451
2013/06/26,MSFT,MSFT,S,BATS,4733
2013/06/27,MSFT,MSFT,S,BATS,3797
2013/06/28,MSFT,MSFT,S,BATS,2759
2013/07/01,MSFT,MSFT,S,BATS,1652
2013/07/02,MSFT,MSFT,S,BATS,3520
2013/07/03,MSFT,MSFT,S,BATS,4793
2013/07/05,MSFT,MSFT,S,BATS,5183
2013/07/08,MSFT,MSFT,S,BATS,2566
2013/07/09,MSFT,MSFT,S,BATS,2233
2013/07/10,MSFT,MSFT,S,BATS,7966
2013/07/11,MSFT,MSFT,S,BATS,18593
2013/07/12,MSFT,MSFT,S,BATS,3063
2013/07/15,MSFT,MSFT,S,BATS,4707
2013/07/16,MSFT,MSFT,S,BATS,4510
2013/07/17,MSFT,MSFT,S,BATS,5026
2013/07/18,MSFT,MSFT,S,BATS,11171
2013/07/19,MSFT,MSFT,S,BATS,82748
2013/07/22,MSFT,MSFT,S,BATS,13471
2013/07/23,MSFT,MSFT,S,BATS,7902
2013/07/24,MSFT,MSFT,S,BATS,4395
2013/07/25,MSFT,MSFT,S,BATS,7715
2013/07/26,MSFT,MSFT,S,BATS,6090
2013/07/29,MSFT,MSFT,S,BATS,3082
2013/07/30,MSFT,MSFT,S,BATS,5050
2013/07/31,MSFT,MSFT,S,BATS,3148
2013/08/01,MSFT,MSFT,S,BATS,2643
2013/08/02,MSFT,MSFT,S,BATS,3217
2013/08/05,MSFT,MSFT,S,BATS,2679
2013/08/06,MSFT,MSFT,S,BATS,2511
2013/08/07,MSFT,MSFT,S,BATS,12063
2013/08/08,MSFT,MSFT,S,BATS,40537
2013/08/09,MSFT,MSFT,S,BATS,5608
2013/08/12,MSFT,MSFT,S,BATS,5587
2013/08/13,MSFT,MSFT,S,BATS,5375
2013/08/14,MSFT,MSFT,S,BATS,10179
2013/08/15,MSFT,MSFT,S,BATS,11055
2013/08/16,MSFT,MSFT,S,BATS,8126
2013/08/19,MSFT,MSFT,S,BATS,4007
2013/08/20,MSFT,MSFT,S,BATS,2977
2013/08/21,MSFT,MSFT,S,BATS,5411
2013/08/22,MSFT,MSFT,S,BATS,7058
2013/08/23,MSFT,MSFT,S,BATS,38581
2013/08/26,MSFT,MSFT,S,BATS,12500
2013/08/27,MSFT,MSFT,S,BATS,9968
2013/08/28,MSFT,MSFT,S,BATS,5610
2013/08/29,MSFT,MSFT,S,BATS,8051
2013/08/30,MSFT,MSFT,S,BATS,6344
2013/09/03,MSFT,MSFT,S,BATS,30563
2013/09/04,MSFT,MSFT,S,BATS,18605
2013/09/05,MSFT,MSFT,S,BATS,4711
2013/09/06,MSFT,MSFT,S,BATS,5792
2013/09/09,MSFT,MSFT,S,BATS,9454
2013/09/10,MSFT,MSFT,S,BATS,12074
2013/09/11,MSFT,MSFT,S,BATS,9140
2013/09/12,MSFT,MSFT,S,BATS,3128
2013/09/13,MSFT,MSFT,S,BATS,7136
2013/09/16,MSFT,MSFT,S,BATS,7682
2013/09/17,MSFT,MSFT,S,BATS,12542
2013/09/18,MSFT,MSFT,S,BATS,7571
2013/09/19,MSFT,MSFT,S,BATS,9515
2013/09/20,MSFT,MSFT,S,BATS,18341
