Trade Date,Options Class,Underlying,Product Type,Exchange,Volume
2018/09/28,NIO,NIO,S,BATS,1456
2018/10/01,NIO,NIO,S,BATS,1253
2018/10/02,NIO,NIO,S,BATS,1592
2018/10/03,NIO,NIO,S,BATS,868
2018/10/04,NIO,NIO,S,BATS,602
2018/10/05,NIO,NIO,S,BATS,1113
2018/10/08,NIO,NIO,S,BATS,451
2018/10/09,NIO,NIO,S,BATS,4638
2018/10/10,NIO,NIO,S,BATS,7399
2018/10/11,NIO,NIO,S,BATS,3304
2018/10/12,NIO,NIO,S,BATS,939
2018/10/15,NIO,NIO,S,BATS,5105
2018/10/16,NIO,NIO,S,BATS,3539
2018/10/17,NIO,NIO,S,BATS,1112
2018/10/18,NIO,NIO,S,BATS,1746
2018/10/19,NIO,NIO,S,BATS,1372
2018/10/22,NIO,NIO,S,BATS,1314
2018/10/23,NIO,NIO,S,BATS,2696
2018/10/24,NIO,NIO,S,BATS,1000
2018/10/25,NIO,NIO,S,BATS,914
2018/10/26,NIO,NIO,S,BATS,912
2018/10/29,NIO,NIO,S,BATS,974
2018/10/30,NIO,NIO,S,BATS,2476
2018/10/31,NIO,NIO,S,BATS,853
2018/11/01,NIO,NIO,S,BATS,2300
2018/11/02,NIO,NIO,S,BATS,2584
2018/11/05,NIO,NIO,S,BATS,1781
2018/11/06,NIO,NIO,S,BATS,4356
2018/11/07,NIO,NIO,S,BATS,2049
2018/11/08,NIO,NIO,S,BATS,3302
2018/11/09,NIO,NIO,S,BATS,1619
2018/11/12,NIO,NIO,S,BATS,1560
2018/11/13,NIO,NIO,S,BATS,2447
2018/11/14,NIO,NIO,S,BATS,6697
2018/11/15,NIO,NIO,S,BATS,1439
2018/11/16,NIO,NIO,S,BATS,2102
2018/11/19,NIO,NIO,S,BATS,4868
2018/11/20,NIO,NIO,S,BATS,3191
2018/11/21,NIO,NIO,S,BATS,1205
2018/11/23,NIO,NIO,S,BATS,898
2018/11/26,NIO,NIO,S,BATS,1369
2018/11/27,NIO,NIO,S,BATS,972
2018/11/28,NIO,NIO,S,BATS,3064
2018/11/29,NIO,NIO,S,BATS,1998
2018/11/30,NIO,NIO,S,BATS,1045
2018/12/03,NIO,NIO,S,BATS,2331
2018/12/04,NIO,NIO,S,BATS,1754
2018/12/06,NIO,NIO,S,BATS,2339
2018/12/07,NIO,NIO,S,BATS,995
2018/12/10,NIO,NIO,S,BATS,2473
2018/12/11,NIO,NIO,S,BATS,1550
2018/12/12,NIO,NIO,S,BATS,2639
2018/12/13,NIO,NIO,S,BATS,2717
2018/12/14,NIO,NIO,S,BATS,1433
2018/12/17,NIO,NIO,S,BATS,2863
2018/12/18,NIO,NIO,S,BATS,2795
2018/12/19,NIO,NIO,S,BATS,498
2018/12/20,NIO,NIO,S,BATS,3266
2018/12/21,NIO,NIO,S,BATS,1880
2018/12/24,NIO,NIO,S,BATS,960
2018/12/26,NIO,NIO,S,BATS,1161
2018/12/27,NIO,NIO,S,BATS,743
2018/12/28,NIO,NIO,S,BATS,601
2018/12/31,NIO,NIO,S,BATS,569
2019/01/02,NIO,NIO,S,BATS,630
2019/01/03,NIO,NIO,S,BATS,465
2019/01/04,NIO,NIO,S,BATS,1094
2019/01/07,NIO,NIO,S,BATS,2272
2019/01/08,NIO,NIO,S,BATS,1402
2019/01/09,NIO,NIO,S,BATS,1526
2019/01/10,NIO,NIO,S,BATS,2736
2019/01/11,NIO,NIO,S,BATS,733
2019/01/14,NIO,NIO,S,BATS,5667
2019/01/15,NIO,NIO,S,BATS,1222
2019/01/16,NIO,NIO,S,BATS,1520
2019/01/17,NIO,NIO,S,BATS,2927
2019/01/18,NIO,NIO,S,BATS,1302
2019/01/22,NIO,NIO,S,BATS,668
2019/01/23,NIO,NIO,S,BATS,1340
2019/01/24,NIO,NIO,S,BATS,2683
2019/01/25,NIO,NIO,S,BATS,791
2019/01/28,NIO,NIO,S,BATS,411
2019/01/29,NIO,NIO,S,BATS,5067
2019/01/30,NIO,NIO,S,BATS,16058
2019/01/31,NIO,NIO,S,BATS,5013
2019/02/01,NIO,NIO,S,BATS,4058
2019/02/04,NIO,NIO,S,BATS,1832
2019/02/05,NIO,NIO,S,BATS,2024
2019/02/06,NIO,NIO,S,BATS,12930
2019/02/07,NIO,NIO,S,BATS,6250
2019/02/08,NIO,NIO,S,BATS,8177
2019/02/11,NIO,NIO,S,BATS,2836
2019/02/12,NIO,NIO,S,BATS,2237
2019/02/13,NIO,NIO,S,BATS,2913
2019/02/14,NIO,NIO,S,BATS,2357
2019/02/15,NIO,NIO,S,BATS,4064
2019/02/19,NIO,NIO,S,BATS,3390
2019/02/20,NIO,NIO,S,BATS,3100
2019/02/21,NIO,NIO,S,BATS,918
2019/02/22,NIO,NIO,S,BATS,7821
2019/02/25,NIO,NIO,S,BATS,19402
2019/02/26,NIO,NIO,S,BATS,34325
2019/02/27,NIO,NIO,S,BATS,22534
2019/02/28,NIO,NIO,S,BATS,15327
2019/03/01,NIO,NIO,S,BATS,9371
2019/03/04,NIO,NIO,S,BATS,19497
2019/03/05,NIO,NIO,S,BATS,18138
2019/03/06,NIO,NIO,S,BATS,44761
2019/03/07,NIO,NIO,S,BATS,38367
2019/03/08,NIO,NIO,S,BATS,19681
2019/03/11,NIO,NIO,S,BATS,18611
2019/03/12,NIO,NIO,S,BATS,6014
2019/03/13,NIO,NIO,S,BATS,10258
2019/03/14,NIO,NIO,S,BATS,10024
2019/03/15,NIO,NIO,S,BATS,8131
2019/03/18,NIO,NIO,S,BATS,7658
2019/03/19,NIO,NIO,S,BATS,3719
2019/03/20,NIO,NIO,S,BATS,3622
2019/03/21,NIO,NIO,S,BATS,2629
2019/03/22,NIO,NIO,S,BATS,4170
2019/03/25,NIO,NIO,S,BATS,3961
2019/03/26,NIO,NIO,S,BATS,6493
2019/03/27,NIO,NIO,S,BATS,2752
2019/03/28,NIO,NIO,S,BATS,2768
2019/03/29,NIO,NIO,S,BATS,1310
2019/04/01,NIO,NIO,S,BATS,2133
2019/04/02,NIO,NIO,S,BATS,9971
2019/04/03,NIO,NIO,S,BATS,3424
2019/04/04,NIO,NIO,S,BATS,5892
2019/04/05,NIO,NIO,S,BATS,3535
2019/04/08,NIO,NIO,S,BATS,2766
2019/04/09,NIO,NIO,S,BATS,2630
2019/04/10,NIO,NIO,S,BATS,3997
2019/04/11,NIO,NIO,S,BATS,2621
2019/04/12,NIO,NIO,S,BATS,2093
2019/04/15,NIO,NIO,S,BATS,6414
2019/04/16,NIO,NIO,S,BATS,7368
2019/04/17,NIO,NIO,S,BATS,4309
2019/04/18,NIO,NIO,S,BATS,3784
2019/04/22,NIO,NIO,S,BATS,3310
2019/04/23,NIO,NIO,S,BATS,2915
2019/04/24,NIO,NIO,S,BATS,4086
2019/04/25,NIO,NIO,S,BATS,4043
2019/04/26,NIO,NIO,S,BATS,1666
2019/04/29,NIO,NIO,S,BATS,1867
2019/04/30,NIO,NIO,S,BATS,1950
2019/05/01,NIO,NIO,S,BATS,2845
2019/05/02,NIO,NIO,S,BATS,1956
2019/05/03,NIO,NIO,S,BATS,28921
2019/05/06,NIO,NIO,S,BATS,6285
2019/05/07,NIO,NIO,S,BATS,5003
2019/05/08,NIO,NIO,S,BATS,8243
2019/05/09,NIO,NIO,S,BATS,4574
2019/05/10,NIO,NIO,S,BATS,4082
2019/05/13,NIO,NIO,S,BATS,6819
2019/05/14,NIO,NIO,S,BATS,5645
2019/05/15,NIO,NIO,S,BATS,6148
2019/05/16,NIO,NIO,S,BATS,2530
2019/05/17,NIO,NIO,S,BATS,6866
2019/05/20,NIO,NIO,S,BATS,6537
2019/05/21,NIO,NIO,S,BATS,1989
2019/05/22,NIO,NIO,S,BATS,5627
2019/05/23,NIO,NIO,S,BATS,5894
2019/05/24,NIO,NIO,S,BATS,6414
2019/05/28,NIO,NIO,S,BATS,8886
2019/05/29,NIO,NIO,S,BATS,5469
2019/05/30,NIO,NIO,S,BATS,15920
2019/05/31,NIO,NIO,S,BATS,8386
2019/06/03,NIO,NIO,S,BATS,11704
2019/06/04,NIO,NIO,S,BATS,4554
2019/06/05,NIO,NIO,S,BATS,6532
2019/06/06,NIO,NIO,S,BATS,10380
